diseases,symptoms
Hives(Urticaria),"burning_stinging_sensations, swelling, itchy_welts_on_skin"
Rubella,"Low_grade_fever, joint_pain, rash"
Mumps,"muscle_aches, fever, fatigue, headache, Swollen_salivary_glands"
Conjunctivitis,"itching, yellow_green_discharge, sensitivity_to_light, irritation, crusting_of_the_eyelids, increased_tear_production"
Migraine,"Throbbing_pain, sensitivity_to_light_sound, visual_disturbances , nausea"
Otitis Media(Ear Infection),"fluid_drainage_from_ear, balance_issues, Ear_pain, irritability, fever, difficulty_hearing"
Impetigo,"ooze, Red_sores"
Otitis Externa(Swimmer's Ear),"redness_inside_ear, Ear_pain, swelling, fluid_drainage, hearing_loss, itching_in_ear_canal"
Hemorrhoids,"Pain, swelling_around_anus, bleeding_during_bowel_movements, itching, irritation_in_anal_region, protrusion_of_tissue"
Hemorrhoids,"itching, swelling_around_anus, protrusion_of_tissue, Pain, irritation_in_anal_region, discomfort_during_bowel_movements, bleeding_during_bowel_movements"
Thrombophlebitis,"warmth_in_affected_area, redness_along _vein, swelling"
Gonorrhea,"pain_during_intercourse, abnormal_discharge_from_genitals, Painful_urination"
Insomnia(short-term),"Difficulty_falling_asleep, daytime_fatigue, asleep, waking_up_too_early"
Acute Bronchitis,"wheezing, mucus, chest_discomfort, shortness_of_breath"
Bladder Infection(Interstitial Cystitis),"pelvic_pain, discomfort_in_the_bladder, Urgent_need_to urinate, pain_during_urination, pressure_in_the_bladder"
Dehydration,"confusion, dark_urine, fatigue, dizziness, Dry_mouth"
Vertigo,"vomiting, headaches, dizziness, difficulty_walking, Sensation_of_spinning, loss_of_balance, abnormal_eye_movements"
Allergic Conjunctivitis,"swelling, Itchy_eyes, redness, watery_discharge"
Gonorrhea,"pain_during_intercourse, pelvic_pain, abnormal_discharge_from_genitals"
Vertigo,"abnormal_eye_movements, Sensation_of_spinning, nausea, loss_of_balance, headaches, difficulty_walking, dizziness"
Yeast Infection(Candidiasis),"burning_during_urination, thick-white_discharge, irritation, swelling, redness, pain_during_intercourse, Itching"
Restless Leg Syndrome,"crawling, urge_to_move_legs, difficulty_sleeping, tingling"
Nosebleeds(Epistaxis),"dizziness , lightheadedness, Bleeding_nostrils"
Acid Reflux,"chronic_cough, sore_throat, Heartburn, sour_liquid, regurgitation_of_food, difficulty_swallowing, hoarseness, sensation_of_lump_in_throat, chest_pain"
Cold Sores(Herpes Simplex Virus),"itching, fever, small_fluid-filled_blisters_around_the_mouth, blisters_around_lips  pain_discomfort, Tingling"
Scarlet Fever,"red_rash, High_fever, strawberry_tongue, sore_throat"
Dehydration,"confusion, Dry_mouth, fatigue, dark_urine"
Conjunctivitis,"Redness_in_the eye or inner_eyelid, yellow_green_discharge, crusting_of_the_eyelids, sensitivity_to_light, irritation, increased_tear_production"
Insomnia(short-term),"Difficulty_falling_asleep, daytime_fatigue, waking_up_too_early, asleep"
Typhoid Fever,"Prolonged_fever, nausea, abdominal_pain, diarrhea, constipation, fatigue, headache"
Acne,"painful_skin, whiteheads,  red_swollen_skin, Pimples, blackheads, cysts, nodules"
Restless Leg Syndrome,"urge_to_move_legs, crawling, itching, tingling"
Mononucleosis,"swollen_spleen, sore_throat, Fatigue, swollen_lymph nodes, fever"
Gonorrhea,"pelvic_pain, abnormal_discharge_from_genitals, Painful_urination"
Urinary Tract Infection,"Painful_urination, foul_smelling-urine, frequent_urination"
Hyperhidrosis(Excessive Sweating),"damp_skin, Excessive_sweating, body_odor"
Otitis Externa(Swimmer's Ear),"fluid_drainage, itching_in_ear_canal, Ear_pain, hearing_loss, redness_inside_ear"
Peptic Ulcers,"heartburn, Burning_stomach_pain, vomiting, nausea, dark_black_stools, vomiting_blood, intolerance_to_fatty_foods, bloating"
Thrombophlebitis,"swelling, redness_along _vein, warmth_in_affected_area"
Otitis Media(Ear Infection),"fever, irritability, difficulty_hearing, Ear_pain, fluid_drainage_from_ear"
Dry Eye Syndrome,"burning, blurred_vision, stinging, Dryness, light_sensitivity, redness"
Impetigo,"ooze, Red_sores"
Chickenpox,"Itchy_red_spots, blisters, loss_of_appetite, fever"
Food Allergy,"Hives, vomiting, diarrhea, anaphylaxis , swelling_of_lips_tongue, abdominal_pain, itching, nausea, difficulty_breathing"
Sinusitis,"Facial_pain_pressure, cough, runny_nose, sore_throat, nasal_congestion"
Dehydration,"dark_urine, Dry_mouth, fatigue, dizziness, confusion"
Measels,"red_eyes, runny_nose, High_fever, cough, red_blotchy_rash"
Conjunctivitis,"yellow_green_discharge, increased_tear_production, Redness_in_the eye or inner_eyelid, sensitivity_to_light, irritation, itching, crusting_of_the_eyelids"
Thrombophlebitis,"redness_along _vein, swelling, warmth_in_affected_area"
Otitis Externa(Swimmer's Ear),"Ear_pain, fluid_drainage, itching_in_ear_canal, hearing_loss, redness_inside_ear, swelling"
"Hand, Foot, and Mouth Diseases","sore_throat, irritability_in_infants , loss_of_appetite, painful_sores_in_mouth, rash_on_the_hands_and_feet, Fever"
Dehydration,"Dry_mouth, dizziness, dark_urine, confusion"
Psoriasis,"silvery scales, covered_with_thick, thickened_pitted_nails, Red_patches_of_skin, dry_cracked_skin_bleed, itching_burning_sensations, swollen_joints"
Tinnitus,"clicking_sounds, Ringing, buzzing, hissing"
Allergic Rhinitis,"coughing, runny_ stuffy nose, postnasal_drip, fatigue, itchy_throat, Sneezing, wheezing"
Food Poisining,"diarrhea, abdominal_cramps, Nausea, fever, dehydration, vomiting"
Pharyngitis(Sore Throat),"swollen_tonsils, pain_when_swallowing, fever, Sore_throat, cough"
Chalazion,"swelling, Painless_lump_on_the_eyelid"
Hemorrhoids,"protrusion_of_tissue, itching, swelling_around_anus, irritation_in_anal_region, discomfort_during_bowel_movements, bleeding_during_bowel_movements, Pain"
Heat Exhaustion,"fainting, weakness, headache, dizziness, Heavy_sweating"
Migraine,"visual_disturbances , sensitivity_to_light_sound, Throbbing_pain"
Sinusitis,"cough, runny_nose, sore_throat, nasal_congestion, loss_of_smell"
Malaria,"Fever, fatigue, vomiting, headache"
Gastroenteritis(Stomach Flu),"Watery_diarrhea, nausea, vomiting, abdominal_cramps, muscle_aches, low_grade_fever"
Measels,"High_fever, red_eyes, cough, runny_nose"
Iron Deficiency,"dizziness, weakness, pale-skin, shortness_of_breath"
Nosebleeds(Epistaxis),"Bleeding_nostrils, dizziness , lightheadedness"
Hives(Urticaria),"itchy_welts_on_skin, burning_stinging_sensations"
Food Poisining,"dehydration, fever, abdominal_cramps, weakness, Nausea, diarrhea, vomiting"
Herpes,"fever, sores_around _mouth, sore_genitals, Painful_blisters, swollen_lymph_nodes, body_aches"
Typhoid Fever,"Prolonged_fever, abdominal_pain, nausea, diarrhea, fatigue, headache, constipation"
Acute Bronchitis,"shortness_of_breath, wheezing, mucus, Cough"
Insomnia(short-term),"daytime_fatigue, waking_up_too_early, Difficulty_falling_asleep, asleep"
Hemorrhoids,"Pain, irritation_in_anal_region, protrusion_of_tissue, itching, bleeding_during_bowel_movements, discomfort_during_bowel_movements, swelling_around_anus"
Vertigo,"loss_of_balance, abnormal_eye_movements, dizziness, nausea, Sensation_of_spinning, difficulty_walking, headaches"
Heat Exhaustion,"Heavy_sweating, nausea, dizziness, headache, fainting"
Cold Sores(Herpes Simplex Virus),"small_fluid-filled_blisters_around_the_mouth, itching, Tingling, blisters_around_lips  pain_discomfort"
Hay Fever,"Sneezing, throat_discomfort, itchy_eyes, runny_stuffy nose, watery_eyes, cough, itchy_mouth, postnasal_drip, fatigue"
Insomnia(short-term),"Difficulty_falling_asleep, asleep, waking_up_too_early"
Sinusitis,"loss_of_smell, sore_throat, Facial_pain_pressure, nasal_congestion, runny_nose, cough"
Thrombophlebitis,"redness_along _vein, warmth_in_affected_area, swelling"
Allergic Conjunctivitis,"swelling, redness, watery_discharge"
Chlamydia,"pain_during_intercourse, abnormal_vaginal_discharge, pelvic_pain, penile_discharge"
Acid Reflux,"hoarseness, sensation_of_lump_in_throat, chest_pain, difficulty_swallowing, sore_throat, regurgitation_of_food, sour_liquid, chronic_cough"
Tetanus,"seizures, fever, high_blood_pressure, Muscle_stiffness and spasms, difficulty_swallowing"
Bladder Infection(Interstitial Cystitis),"pressure_in_the_bladder, pelvic_pain, discomfort_in_the_bladder, pain_during_urination, pain_during_sexual_intercourse"
Diarrhea,"dehydration, frequent _bowel_movements, Loose, abdominal_cramps, nausea, urgency_bowel_movement, bloating, watery_stools"
Insomnia(short-term),"Difficulty_falling_asleep, daytime_fatigue, asleep"
Dehydration,"confusion, Dry_mouth, fatigue, dizziness"
Blepharitis,"swollen_eyelids, Red, crusting_along_the_eyelashes, burning_sensation"
Sore Throat,"difficulty_swallowing, swollen_glands, red_swollen_tonsils, hoarse_voice"
Yeast Infection(Candidiasis),"burning_during_urination, irritation, thick-white_discharge, redness, pain_during_intercourse, swelling, Itching"
Vertigo,"headaches, dizziness, abnormal_eye_movements, difficulty_walking, loss_of_balance, Sensation_of_spinning, nausea, vomiting"
Conjunctivitis,"yellow_green_discharge, increased_tear_production, crusting_of_the_eyelids, itching, Redness_in_the eye or inner_eyelid, sensitivity_to_light, irritation"
Chalazion,"redness, swelling"
Allergic Rhinitis,"fatigue, itchy_throat, itchy_eyes, wheezing, postnasal_drip, Sneezing, coughing, runny_ stuffy nose"
Chronic Bronchitis,"Persistent_cough_with_mucus, wheezing, shortness_of_breath"
Jet Lag,"insomnia, mood_changes, Fatigue"
Iron Deficiency,"pale-skin, weakness, Fatigue, dizziness"
Heat Exhaustion,"nausea, headache, dizziness, Heavy_sweating, fainting"
Typhoid Fever,"fatigue, nausea, headache, Prolonged_fever, abdominal_pain, diarrhea"
Mononucleosis,"swollen_lymph nodes, fever, swollen_spleen, Fatigue, sore_throat"
Headaches(Tension),"aching_forehead, aching_neck, Dullness, tightness"
Heat Exhaustion,"weakness, fainting, Heavy_sweating, headache, dizziness, nausea"
Tinnitus,"roaring, Ringing, buzzing, hissing"
Sore Throat,"hoarse_voice, swollen_glands, red_swollen_tonsils, difficulty_swallowing"
Food Poisining,"diarrhea, dehydration, vomiting, weakness, abdominal_cramps, fever, Nausea"
Peptic Ulcers,"heartburn, dark_black_stools, vomiting, Burning_stomach_pain, vomiting_blood, nausea, bloating, intolerance_to_fatty_foods, weight_loss"
Measels,"High_fever, cough, red_blotchy_rash, red_eyes, runny_nose"
Jet Lag,"Fatigue, mood_changes, difficulty_concentrating"
Bacterial Vaginosis,"burning_during_urination. , vaginal_itching, fishy_odor"
Conjunctivitis,"itching, Redness_in_the eye or inner_eyelid, crusting_of_the_eyelids, sensitivity_to_light, yellow_green_discharge, irritation, increased_tear_production"
Otitis Media(Ear Infection),"balance_issues, irritability, Ear_pain, fluid_drainage_from_ear, difficulty_hearing, fever"
Bladder Infection(Interstitial Cystitis),"pain_during_urination, pain_during_sexual_intercourse, Urgent_need_to urinate, pressure_in_the_bladder, discomfort_in_the_bladder, pelvic_pain"
Otitis Media(Ear Infection),"irritability, Ear_pain, fever, fluid_drainage_from_ear, balance_issues"
Diarrhea,"bloating, nausea, Loose, urgency_bowel_movement, watery_stools, dehydration, abdominal_cramps, frequent _bowel_movements"
Tonsilitis,"difficulty_swallowing, swollen_lymph_nodes, bad_breath, swollen_tonsils, Sore_throat"
Measels,"High_fever, red_eyes, red_blotchy_rash, runny_nose, cough"
Thrombophlebitis,"redness_along _vein, Pain, swelling"
Food Poisining,"fever, vomiting, Nausea, diarrhea, dehydration, abdominal_cramps"
Influenza(Flu),"headache, cough, fatigue, sore_throat, Fever, sometimes_vomiting, diarrhea, muscle_pain"
Fungal Infection,"itching, respiratory_issues, Skin_rashes, nail_discoloration, fatigue, blisters, scaling, cracking_skin, redness"
Scarlet Fever,"strawberry_tongue, sore_throat, red_rash"
Otitis Externa(Swimmer's Ear),"redness_inside_ear, hearing_loss, swelling, itching_in_ear_canal, fluid_drainage, Ear_pain"
Conjunctivitis,"sensitivity_to_light, crusting_of_the_eyelids, irritation, Redness_in_the eye or inner_eyelid, increased_tear_production, yellow_green_discharge, itching"
Dermatitis(Eczema),"itching, scaling, cracking, thickened_skin, blisters, dryness, inflamed_skin, Red"
Styes,"pain, tenderness, increased_tearing, sensitivity_to_light, sensation_in_the_eye"
Bladder Infection(Interstitial Cystitis),"Urgent_need_to urinate, pressure_in_the_bladder, pelvic_pain, pain_during_sexual_intercourse, pain_during_urination, discomfort_in_the_bladder"
Tetanus,"fever, Muscle_stiffness and spasms, difficulty_swallowing, seizures, high_blood_pressure"
Blepharitis,"swollen_eyelids, burning_sensation, flaking_skin, crusting_along_the_eyelashes, Red"
Jet Lag,"difficulty_concentrating, Fatigue, mood_changes"
Hives(Urticaria),"burning_stinging_sensations, itchy_welts_on_skin"
Tonsilitis,"Sore_throat, swollen_tonsils, bad_breath, fever, swollen_lymph_nodes, difficulty_swallowing"
Chickenpox,"fever, blisters, fatigue, loss_of_appetite"
Scarlet Fever,"High_fever, strawberry_tongue, red_rash"
Irritable Bowel Syndrome,"changes_in_bowel_habits, bloating, diarrhea, Abdominal_pain, constipation, cramping, gas"
Nasal Polyps,"Persistent_nasal_congestion, reduced_absense_of_smell, postnasal_drip, runny_nose, snoring, difficulty_breathing"
Typhoid Fever,"fatigue, Prolonged_fever, headache, abdominal_pain, constipation, nausea"
Herpes,"sore_genitals, fever, body_aches, swollen_lymph_nodes, Painful_blisters"
Cold Sores(Herpes Simplex Virus),"fever, small_fluid-filled_blisters_around_the_mouth, itching, Tingling, blisters_around_lips  pain_discomfort"
Chronic Bronchitis,"shortness_of_breath, Persistent_cough_with_mucus, wheezing"
"Hand, Foot, and Mouth Diseases","rash_on_the_hands_and_feet, loss_of_appetite, Fever, irritability_in_infants , sore_throat"
Chickenpox,"fatigue, Itchy_red_spots, blisters, loss_of_appetite, fever"
Common Cold(Rhinovirus),"sore_throat, coughing, sneezing, headaches, body_aches, Runny_nose"
Laryngitis,"loss_of_voice, sore_throat, difficulty_speaking, Hoarseness, dry_cough, throat_irritation"
Nasal Polyps,"reduced_absense_of_smell, snoring, difficulty_breathing, postnasal_drip, facial_pain or pressure, runny_nose, Persistent_nasal_congestion"
Vertigo,"headaches, loss_of_balance, vomiting, Sensation_of_spinning, dizziness, nausea, abnormal_eye_movements, difficulty_walking"
Irritable Bowel Syndrome,"diarrhea, gas, bloating, cramping, constipation, changes_in_bowel_habits, Abdominal_pain"
Tuberculosis,"Cough, fatigue, night_sweats, coughing_up_blood, weight_loss, chest_pain"
Chalazion,"Painless_lump_on_the_eyelid, redness"
Otitis Externa(Swimmer's Ear),"hearing_loss, itching_in_ear_canal, swelling, Ear_pain, redness_inside_ear, fluid_drainage"
Measels,"runny_nose, cough, High_fever, red_blotchy_rash"
Mononucleosis,"swollen_spleen, sore_throat, Fatigue, swollen_lymph nodes, fever"
Mononucleosis,"swollen_spleen, Fatigue, sore_throat, swollen_lymph nodes, fever"
Chalazion,"redness, swelling, Painless_lump_on_the_eyelid"
Allergic Conjunctivitis,"swelling, redness, Itchy_eyes, watery_discharge"
Dermatitis(Eczema),"cracking, blisters, thickened_skin, scaling, dryness, itching, Red, inflamed_skin"
Tuberculosis,"chest_pain, weight_loss, fatigue, coughing_up_blood, night_sweats, Cough"
Jet Lag,"Fatigue, difficulty_concentrating, insomnia, mood_changes"
Common Cold(Rhinovirus),"body_aches, Runny_nose, sore_throat, coughing, sneezing, headaches"
Iron Deficiency,"Fatigue, dizziness, pale-skin, weakness, shortness_of_breath"
Hay Fever,"itchy_mouth, throat_discomfort, runny_stuffy nose, fatigue, watery_eyes, itchy_eyes, cough, Sneezing"
Acid Reflux,"regurgitation_of_food, sore_throat, hoarseness, chest_pain, sensation_of_lump_in_throat, Heartburn, chronic_cough, difficulty_swallowing"
Allergic Rhinitis,"itchy_throat, runny_ stuffy nose, fatigue, itchy_eyes, postnasal_drip, Sneezing, coughing"
Human Papillomavirus,"abnormal_Pap_smear_results, Genital_warts"
Tonsilitis,"difficulty_swallowing, Sore_throat, swollen_tonsils, swollen_lymph_nodes, bad_breath, fever"
Food Poisining,"diarrhea, weakness, dehydration, fever, Nausea, abdominal_cramps, vomiting"
Heat Exhaustion,"weakness, dizziness, Heavy_sweating, fainting, nausea, headache"
Mumps,"fatigue, fever, headache, muscle_aches, Swollen_salivary_glands"
Bacterial Vaginosis,"vaginal_itching, Thin_gray_white_vaginal_discharge, fishy_odor"
Allergic Rhinitis,"fatigue, coughing, runny_ stuffy nose, Sneezing, wheezing, postnasal_drip, itchy_throat"
Urinary Tract Infection,"foul_smelling-urine, pelvic_pain, Painful_urination"
Motion Sickness,"Nausea, vomiting, sweating, dizziness"
Thrombophlebitis,"redness_along _vein, warmth_in_affected_area, Pain"
Lactose Intolerance,"nausea, abdominal_cramps, bloating, gas_after_consuming_dairy_products"
Food Poisining,"dehydration, diarrhea, weakness, fever, Nausea, abdominal_cramps, vomiting"
Iron Deficiency,"pale-skin, Fatigue, weakness, dizziness"
Chlamydia,"abnormal_vaginal_discharge, penile_discharge, pelvic_pain, pain_during_intercourse"
Nosebleeds(Epistaxis),"dizziness , Bleeding_nostrils, lightheadedness"
Influenza(Flu),"diarrhea, muscle_pain, Fever, sore_throat, sometimes_vomiting, cough, fatigue, headache"
Acute Bronchitis,"mucus, shortness_of_breath, Cough, wheezing, chest_discomfort"
Irritable Bowel Syndrome,"constipation, bloating, changes_in_bowel_habits, gas, cramping, diarrhea, Abdominal_pain"
Blepharitis,"flaking_skin, swollen_eyelids, burning_sensation, crusting_along_the_eyelashes"
Styes,"pain, increased_tearing, sensation_in_the_eye, tenderness, Red,_swollen_lump_on_eyelid"
Tonsilitis,"swollen_lymph_nodes, bad_breath, Sore_throat, difficulty_swallowing, swollen_tonsils, fever"
Psoriasis,"thickened_pitted_nails, swollen_joints, itching_burning_sensations, covered_with_thick, silvery scales, Red_patches_of_skin"
Varicose Veins,"Bulging, heaviness, swelling, twisted_veins"
Hives(Urticaria),"itchy_welts_on_skin, burning_stinging_sensations"
