Diseases,Description,Symptoms,Causes,Prevention,Treatment,Illness_Type
Malaria,A mosquito-borne infectious disease caused by Plasmodium parasites.,"Fever, headache, chills, vomiting, fatigue",Plasmodium parasites transmitted through the bites of infected female Anopheles Mosquitoes,"Insecticide-treated bed nets, indoor residual spraying, antimalarial drugs",Antimalarial drugs (e.g. Artemisinin-based combination therapy),Infection
Typhoid Fever,A bacterial infection spread through contaminated food or water.,"Prolonged fever, fatigue, headache, nausea, abdominal pain, constipation or diarrhea",Infection by Salmonella Typhi bacteria through contaminated food or water,"Vaccination, safe drinking water, proper sanitation, good hygiene practices","Antibiotics(e.g., ciprofloxacin, azithromycin), hydration theraphy",Infection
Common Cold(Rhinovirus),"A viral infection affecting the upper respiratory tract, commonly known as a cold.","Runny nose, sore throat, coughing, sneezing, headaches, body aches","Rhinoviruses(most common cause), other respiratory viruses","Wash hands often, avoid close contact with sick individuals","Rest, hydration, over-the-counter medications(pain relievers, decongestants, cough syrups)",Respiratory
Influenza(Flu),"A viral respiratory illness, also known as the flu.","Fever, cough, sore throat, muscle pain, headache, fatigue, sometimes vomiting and diarrhea",Influenza viruses(primarily type A and B),"Annual vaccination, hand hygiene, avoiding close contact with infected individuals","Rest, hydration, antiviral drugs(e.g., oseltamivir), over-the-counter symptom relief medications",Respiratory
Acute Bronchitis,"Inflammation of the bronchial tubes, often due to infection.","Cough(often with mucus), wheezing, shortness of breath, chest discomfort","Usually caused by viral infections(e.g., cold viruses), sometimes by bacteria","Good hygiene practices, avoiding tobacco smoke, staying away from sick individuals","Rest, hydration, over-the-counter medication for cough and pain",Respiratory
Chronic Bronchitis,"Long-term inflammation of the bronchi, often linked to smoking.","Persistent cough with mucus, wheezing, shortness of breath","Long-term exposure to irritants(e.g., tobacco smoke, air pollution)","Avoiding tobacco smoke, reducing exposure to pollutants, vaccination against respiratory infections","Bronchodilators, steriods, pulmonary rehabilitation, oxygen therapy in severe cases",Respiratory
Sinusitis,"Inflammation of the sinuses, often causing congestion and pain.","Facial pain/pressure, nasal congestion, runny nose, loss of smell, cough, sore throat","Viral infections(like cold or flu), bacterial infections, allergies, nasal polyps","Avoid colds, manage allergies, stay hydrated, use a humidifier, good nasal hygiene","Nasal sprays, decongestants, saline rinses, antibiotics( for bacterial sinusitis), antihistamines",Respiratory/Allergies
Pharyngitis(Sore Throat),"Inflammation of the throat, often resulting in pain and discomfort.","Sore throat, pain when swallowing, swollen tonsils, hoarseness, fever, cough","Viral infections(common cold, flu), bacterial infections(strep throat), allergies, dry air","Good hand hygiene, avoiding contact with sick individuals, staying hydrated, using humidifiers","(Viral pharyngitis is typically treated symptomatically without antibiotics); pain relivers(e.g., ibuprofen, acetaminophen), throat lozenges, antibiotics(for bacterial infection), rest",Respiratory/Infection
Laryngitis,"Inflammation of the larynx, typically causing hoarseness.","Hoarseness, loss of voice, sore throat, dry cough, throat irritation, difficulty speaking","Viral infections(common cold, flu), overuse of voice, bacterial infections, smoking, allergies","Avoid excessive use of voice, stay hydrated, avoid smoking, manage allergies, good hand hygiene","Resting the voice, stay hydrated, humidifiers, pain relievers, antibiotics(if bacterial), corticosteriods(in severe cases)",Respiratory
Gastroenteritis(Stomach Flu),An intestinal infection causing diarrhea and stomach cramps.,"Watery diarrhea, abdominal cramps, nausea, vomiting, low-grade fever, muscle aches","Viral Infections(Norovirus, Rotavirus, Astrovirus, Adenovirus), contaminated food or water","Good hand hygiene, drinking clean water, proper food preparation, avoiding contaminated food","Rehydration(oral rehydration salts, IV fluids if severe), anti-nausea medications, metronidazole(for bacterial cases), loperamide(for diarrhea control)",Gastrointestinal
Tonsilitis,Infection or inflammation of the tonsils.,"Sore throat, difficulty swallowing, swollen tonsils, fever, bad breath, swollen lymph nodes",Viral or bacterial infections (commonly Group A Streptococcus),"Good hygiene, avoiding contact with infected individuals, hand washing","Rest, fluids, pain relievers (ibuprofen or acetaminophen), antibiotics (e.g., amoxicillin for bacterial tonsillitis)",Infection 
Food Poisining,"An illness caused by ingesting contaminated food, leading to gastrointestinal distress.","Nausea, vomiting, diarrhea, abdominal cramps, fever, weakness, dehydration","Contaminated food or water (bacteria, viruses, parasites, toxins)","Proper food handling, cooking food to the correct temperature, hand washing, avoiding raw/contaminated food","Rest, hydration, oral rehydration solutions, IV fluids (in severe cases), antibiotics (for bacterial infections), anti-diarrheal medications (for some cases)",Infection 
Irritable Bowel Syndrome,"A chronic condition that affects the large intestine, causing pain and irregular bowel movements.","Abdominal pain, cramping, bloating, gas, diarrhea or constipation, changes in bowel habits","Unknown, but can be related to abnormal muscle contractions in the intestines, nervous system dysfunction, inflammation in the intestines, severe infection, stress","Manage stress, avoid trigger foods, eat high-fiber foods, regular exercise, probiotics, small meals","Dietary changes, stress management, fiber supplements, laxatives (for constipation), anti-diarrheal medications, antispasmodic medications, antidepressants",Gastrointestinal 
Lactose Intolerance,"An inability to digest lactose, a sugar found in milk and dairy products.","Diarrhea, nausea, abdominal cramps, bloating, gas after consuming dairy products","Lack of lactase enzyme in the small intestine, leading to difficulty digesting lactose (sugar in milk and dairy products)","Avoid or limit dairy products, use lactose-free dairy products, take lactase enzyme supplements","Dietary adjustments (lactose-free or low-lactose foods), lactase enzyme supplements, calcium and vitamin D supplements",Gastrointestinal 
Constipation,"Difficulty in passing stools, often due to a lack of fiber in the diet.","Infrequent bowel movements (less than three times a week), difficulty passing stools, hard or dry stools, abdominal discomfort, bloating","Lack of fiber in the diet, dehydration, lack of physical activity, certain medications, ignoring the urge to pass stool, changes in routine, stress","Eat a high-fiber diet (fruits, vegetables, whole grains), drink plenty of water, exercise regularly, establish a regular bathroom routine","Increased dietary fiber, stool softeners, laxatives (e.g., lactulose), increased water intake, regular exercise",Gastrointestinal 
Diarrhea,"Frequent, loose, or watery stools, usually due to infection or irritation.","Loose, watery stools, frequent bowel movements, abdominal cramps, bloating, nausea, urgency to have a bowel movement, dehydration","Viral infections (e.g., rotavirus, norovirus), bacterial infections (e.g., E. coli, salmonella), contaminated water or food, medications (e.g., antibiotics), intestinal diseases (IBS, IBD)","Safe drinking water, good sanitation, proper hygiene (handwashing), vaccination (e.g., rotavirus vaccine), food safety practices","Oral rehydration solution (ORS), zinc supplements, antidiarrheal medications (e.g., loperamide), increased fluid intake, continued feeding for children",Infection/Gastrointestinal 
Acid Reflux,A digestive disorder where stomach acid flows back into the esophagus.,"Heartburn, regurgitation of food or sour liquid, difficulty swallowing, chest pain, sensation of lump in throat, chronic cough, sore throat, hoarseness","Weakening of the lower esophageal sphincter (LES), obesity, pregnancy, smoking, certain foods and drinks (spicy, fatty foods, alcohol, coffee), certain medications","Maintain healthy weight, avoid trigger foods, stop smoking, eat smaller meals, avoid lying down after eating, raise the head of the bed","Lifestyle changes (diet modification, weight loss), antacids, H2 blockers (e.g., famotidine), proton pump inhibitors (PPIs, e.g., omeprazole)",Gastrointestinal 
Peptic Ulcers,Sores that develop on the lining of the stomach or small intestine.,"Burning stomach pain, bloating, intolerance to fatty foods, heartburn, nausea, vomiting, weight loss, dark or black stools, vomiting blood","Helicobacter pylori infection, prolonged use of NSAIDs (e.g., aspirin, ibuprofen), smoking, excessive alcohol, stress, spicy foods","Avoid long-term use of NSAIDs, quit smoking, limit alcohol, manage stress, eat a healthy diet","Proton pump inhibitors (e.g., omeprazole), antibiotics for H. pylori (clarithromycin, amoxicillin), antacids, lifestyle changes (diet modification, quitting smoking)",Gastrointestinal 
Hemorrhoids,"Swollen veins in the rectum or anus, causing pain and bleeding.","Pain or discomfort during bowel movements, itching or irritation in the anal region, swelling around the anus, bleeding during bowel movements, protrusion of tissue","Straining during bowel movements, chronic constipation or diarrhea, sitting for long periods, obesity, pregnancy, anal intercourse, age-related tissue weakening","High-fiber diet, staying hydrated, regular exercise, avoiding prolonged sitting, practicing good bowel habits","Over-the-counter creams (e.g., hydrocortisone), topical analgesics, sitz baths, fiber supplements, in severe cases, surgical options such as hemorrhoidectomy or banding",Gastrointestinal 
Dermatitis(Eczema),"A chronic skin condition causing itchy, inflamed skin.","Red, inflamed skin, itching, dryness, cracking, scaling, thickened skin, blisters","Allergens (e.g., pollen, pet dander), irritants (e.g., soaps, detergents), genetic factors, stress, certain medical conditions","Avoid known triggers, use mild soaps, moisturize regularly, wear protective clothing, practice stress management","Topical corticosteroids, antihistamines for itching, moisturizers, calcineurin inhibitors, phototherapy in severe cases",Dermatological 
Psoriasis,"A skin disease causing red, scaly patches on the skin.","Red patches of skin covered with thick, silvery scales, dry and cracked skin that may bleed, itching and burning sensations, thickened or pitted nails, swollen joints","Genetic factors, immune system dysfunction, environmental triggers (stress, infections, skin injuries), and certain medications","Avoid known triggers, maintain a healthy lifestyle, manage stress, use moisturizers regularly","Topical treatments (corticosteroids, vitamin D analogs), phototherapy, systemic medications (e.g., methotrexate, biologics) for severe cases",Dermatological
Acne,"A skin condition where hair follicles become clogged, causing pimples.","Pimples, whiteheads, blackheads, cysts, nodules, and red, swollen, or painful skin","Excess oil (sebum) production, clogged hair follicles, bacteria, hormonal changes (e.g., puberty), certain medications, diet, stress","Clean skin regularly, avoid oily skincare products, maintain a healthy diet, manage stress, avoid picking or squeezing pimples","Topical treatments (retinoids, benzoyl peroxide, salicylic acid), antibiotics (oral or topical), hormonal treatments (e.g., birth control), isotretinoin for severe cases",Dermatological 
Fungal Infection,"An infection caused by fungi, often affecting the skin, nails, or lungs.","Skin rashes, itching, redness, scaling, blisters, cracking skin, nail discoloration, respiratory issues, and fatigue (depending on the type of fungal infection)","Exposure to fungi (e.g., Candida, Aspergillus, Cryptococcus), weakened immune system, warm and moist environments, inhalation of spores","Keep skin clean and dry, avoid sharing personal items, wear breathable clothing, maintain good hygiene, avoid contact with infected individuals","Antifungal medications (oral or topical): Fluconazole, Itraconazole, Terbinafine, Amphotericin B (for severe cases); good hygiene and keeping the affected area dry",Fungal Infection 
Cold Sores(Herpes Simplex Virus),Painful blisters around the mouth caused by the herpes simplex virus.,"Tingling, itching, small fluid-filled blisters around the mouth, lips, or nose; pain and discomfort; fever in severe cases","Herpes Simplex Virus (HSV-1, and sometimes HSV-2); usually spread through close personal contact, saliva, or shared objects like utensils","Avoid close contact with infected individuals, avoid sharing personal items (lip balm, utensils), use sunscreen on the lips to prevent flare-ups","Antiviral medications (e.g., Valacyclovir, Acyclovir); topical creams (e.g., Docosanol) to reduce duration and discomfort; stay hydrated, use cold compresses",Viral Infection
Impetigo,A contagious skin infection often seen in children.,"Red sores that quickly rupture, ooze for a few days, and then form a yellowish-brown crust; mostly around the nose and mouth, and sometimes hands and feet",Bacterial infection caused by Staphylococcus aureus or Streptococcus pyogenes; usually spread by contact with an infected person or contaminated objects,"Good hygiene, regular hand washing, keeping wounds clean, and avoiding contact with infected individuals or shared personal items","Antibiotics, typically topical (Mupirocin or Fusidic Acid) for mild cases; oral antibiotics (e.g., Amoxicillin-Clavulanate, Cephalexin) for more severe cases",Bacterial Infection 
Hives(Urticaria),"A skin rash with red, itchy welts, often due to an allergic reaction.","Raised, itchy welts (hives) on the skin; can appear suddenly and vary in size; may cause burning or stinging sensations; can be accompanied by angioedema (swelling)","Allergic reactions, stress, infections, medications, certain foods, and physical factors (temperature, sunlight, pressure)",Identify and avoid known triggers; manage stress; maintain good hygiene,"Antihistamines (e.g., Cetirizine, Loratadine); corticosteroids for severe cases; avoiding known triggers; cold compresses for relief",Allergic Reaction 
Hay Fever,An allergic response causing sneezing and nasal congestion.,"Sneezing, runny or stuffy nose, itchy eyes, mouth or throat, watery eyes, fatigue, cough, and postnasal drip","Allergic reactions to pollen from trees, grasses, and weeds; mold spores; pet dander; dust mites; and certain foods",Avoid known allergens; use air conditioning; keep windows closed during pollen season; use high-efficiency particulate air (HEPA) filters; take preventive medications,"Antihistamines (e.g., Cetirizine, Loratadine); nasal corticosteroids (e.g., Fluticasone); decongestants; allergy shots (immunotherapy)",Allergic Reaction 
Allergic Rhinitis,An allergic condition causing inflammation in the nasal passages.,"Sneezing, runny or stuffy nose, itchy eyes, itchy throat, postnasal drip, fatigue, coughing, and wheezing","Allergens such as pollen, dust mites, mold, pet dander, and certain foods","Avoidance of known allergens, use of air conditioning, keeping windows closed during pollen season, using hypoallergenic bedding, and regular cleaning","Antihistamines (e.g., Cetirizine, Loratadine), nasal corticosteroids (e.g., Fluticasone), decongestants, and allergen immunotherapy (allergy shots)",Allergic Reaction 
Food Allergy,An abnormal immune response to specific foods.,"Hives, itching, swelling of lips or tongue, difficulty breathing, abdominal pain, nausea, vomiting, diarrhea, and anaphylaxis in severe cases","Allergens such as peanuts, tree nuts, fish, shellfish, eggs, milk, soy, and wheat","Avoidance of known allergens, reading food labels, and consultation with an allergist for management and possible desensitization therapy","Antihistamines for mild reactions; epinephrine auto-injectors (e.g., EpiPen) for severe reactions (anaphylaxis)",Allergic Reaction 
Tendinitis,"Inflammation of the tendons, often due to overuse.","Pain, tenderness, and stiffness in the affected tendon, swelling, and limited range of motion in the joint near the tendon","Overuse or repetitive motion, injury, aging, and certain medical conditions (e.g., rheumatoid arthritis)","Stretching and strengthening exercises, proper warm-up before activities, using ergonomic tools, and avoiding repetitive motions","Rest, ice application, over-the-counter pain relievers (e.g., ibuprofen, naproxen), physical therapy, corticosteroid injections, and, in severe cases, surgery",Musculoskeletal Disorder 
Otitis Media(Ear Infection),A middle ear infection common in children.,"Ear pain, difficulty hearing, fluid drainage from the ear, fever, irritability in children, and balance issues","Bacterial or viral infections, allergies, respiratory infections, and blockage of the Eustachian tube","Keeping vaccinations up to date, avoiding secondhand smoke exposure, practicing good hygiene, and managing allergies","Observation, antibiotics for bacterial infections, pain relief with acetaminophen or ibuprofen, warm compresses, and in some cases, surgical intervention (e.g., tympanostomy tubes)",Infection 
Otitis Externa(Swimmer's Ear),An outer ear infection often due to water exposure.,"Ear pain, itching in the ear canal, redness inside the ear, fluid drainage, hearing loss, and swelling","Bacterial infection from water exposure (commonly known as “swimmer’s ear”), excessive moisture in the ear, skin conditions like eczema, or foreign object injury","Keep ears dry, avoid inserting objects in the ear, use earplugs when swimming, and treat skin conditions that affect the ear canal","Topical antibiotics (ear drops), corticosteroids to reduce inflammation, pain relief, and keeping the ear dry",Infection 
Tinnitus,Ringing or other noises in one or both ears not caused by an external sound.,"Ringing, buzzing, hissing, roaring, or clicking sounds in the ears that are not caused by external noise","Exposure to loud noises, ear infections, earwax buildup, age-related hearing loss, ototoxic medications, and underlying conditions such as high blood pressure","Protect ears from loud noises, use ear protection, avoid prolonged exposure to high-volume environments, maintain cardiovascular health, and avoid ototoxic substances","No specific cure; treatments include sound therapy, hearing aids, cognitive behavioral therapy (CBT), and managing underlying conditions (e.g., earwax removal)",Ear and auditory condition
